congress,issue,mds
106,Energy,-0.365018405
107,Energy,-0.401961054
108,Energy,-0.419751274
109,Energy,-0.064325978
110,Energy,0.1219785
111,Energy,0.123961344
112,Energy,-0.117907838
113,Energy,-0.197649425
114,Energy,-0.219893175
80,Environment,-0.412520002
81,Environment,-0.498812547
82,Environment,-0.472862551
83,Environment,-0.523582132
84,Environment,-0.50542864
85,Environment,-0.590045539
86,Environment,-0.592746543
87,Environment,-0.528970903
88,Environment,-0.638699138
89,Environment,-0.419763164
90,Environment,-0.378846351
91,Environment,0.210751714
92,Environment,0.168127229
93,Environment,-0.205277861
94,Environment,-0.301866436
95,Environment,-0.292246241
96,Environment,-0.249169635
97,Environment,-0.349455841
98,Environment,-0.303517378
99,Environment,-0.091122378
100,Environment,0.21116714
101,Environment,0.59202247
102,Environment,0.251182155
103,Environment,0.398461651
104,Environment,0.474371563
105,Environment,-0.128290541
106,Environment,0.056707851
107,Environment,-0.137668702
108,Environment,-0.088200901
109,Environment,-0.263239227
110,Environment,-0.283238213
111,Environment,-0.109451874
112,Environment,-0.212045832
113,Environment,-0.154010177
114,Environment,-0.072375741
80,Government.Operations,1.48730436
81,Government.Operations,1.905255902
82,Government.Operations,1.779299839
83,Government.Operations,1.714702458
84,Government.Operations,1.758442157
85,Government.Operations,1.91333633
86,Government.Operations,2.032652452
87,Government.Operations,2.09111192
88,Government.Operations,2.368484126
89,Government.Operations,2.029289523
90,Government.Operations,2.508182114
91,Government.Operations,2.223814306
92,Government.Operations,1.778431241
93,Government.Operations,1.956914647
94,Government.Operations,2.104358807
95,Government.Operations,1.839300238
96,Government.Operations,1.673455423
97,Government.Operations,1.845444844
98,Government.Operations,1.677471588
99,Government.Operations,1.671078987
100,Government.Operations,1.505581102
101,Government.Operations,1.322690295
102,Government.Operations,1.306638114
103,Government.Operations,1.662516722
104,Government.Operations,1.7440278
105,Government.Operations,0.531424161
106,Government.Operations,1.149920573
107,Government.Operations,1.049674547
108,Government.Operations,1.059473469
109,Government.Operations,0.740951852
110,Government.Operations,0.902089587
111,Government.Operations,1.373037483
112,Government.Operations,0.715213413
113,Government.Operations,1.457005374
114,Government.Operations,1.034005013
80,Health,-0.347409743
81,Health,-0.278123043
82,Health,-0.34697949
83,Health,-0.465535332
84,Health,-0.43473932
85,Health,-0.57088256
86,Health,-0.507942269
87,Health,-0.317458762
88,Health,-0.04854194
89,Health,-0.008858276
90,Health,-0.087842544
91,Health,0.225510238
92,Health,0.675043497
93,Health,0.716407417
94,Health,0.811932148
95,Health,0.76417811
96,Health,0.599614671
97,Health,0.14482888
98,Health,0.22357503
99,Health,0.777427013
100,Health,0.997967784
101,Health,1.159311154
102,Health,0.926183059
103,Health,0.901459343
104,Health,1.074209155
105,Health,0.597623907
106,Health,1.80502932
107,Health,1.550646616
108,Health,1.646062592
109,Health,1.456397893
110,Health,1.445135114
111,Health,1.568599909
112,Health,0.614015069
113,Health,1.595196325
114,Health,2.002088173
80,Housing,-0.289275582
81,Housing,-0.241944436
82,Housing,-0.429375675
83,Housing,-0.5096509
84,Housing,-0.3912382
85,Housing,-0.494230644
86,Housing,-0.481440933
87,Housing,-0.488955093
88,Housing,-0.443322864
89,Housing,-0.522489386
90,Housing,-0.335534157
91,Housing,-0.636387529
92,Housing,-0.497622803
93,Housing,-0.629890733
94,Housing,-0.457978366
95,Housing,-0.582061771
96,Housing,-0.673561789
97,Housing,-0.532652277
98,Housing,-0.672482064
99,Housing,-0.738769034
100,Housing,-0.57055737
101,Housing,-0.542554897
102,Housing,-0.771546488
103,Housing,-0.559420912
104,Housing,-0.530356405
105,Housing,-0.420482519
106,Housing,-0.778555802
107,Housing,-0.693866039
108,Housing,-0.734299065
109,Housing,-0.702773342
110,Housing,-0.578191874
111,Housing,-0.35232779
112,Housing,-0.41679597
113,Housing,-0.681317751
114,Housing,-0.768473632
80,Immigration,-0.200911658
81,Immigration,-0.346862397
82,Immigration,-0.289759917
83,Immigration,-0.453925972
84,Immigration,-0.512678827
85,Immigration,-0.617918962
86,Immigration,-0.675784062
87,Immigration,-0.721427896
88,Immigration,-0.594386993
89,Immigration,-0.772605405
90,Immigration,-0.66578964
91,Immigration,-0.786924468
92,Immigration,-1.006228792
93,Immigration,-1.209567008
94,Immigration,-1.121454073
95,Immigration,-1.2645306
96,Immigration,-1.229772717
97,Immigration,-1.179024605
98,Immigration,-1.326955137
99,Immigration,-1.361313106
100,Immigration,-1.35228188
101,Immigration,-1.318605817
102,Immigration,-1.246092578
103,Immigration,-1.141148679
104,Immigration,-1.065211591
105,Immigration,-0.673867751
106,Immigration,-1.130676753
107,Immigration,-1.115944868
108,Immigration,-1.133859771
109,Immigration,-1.013976328
110,Immigration,-0.997191469
111,Immigration,-1.021025116
112,Immigration,-0.786287599
113,Immigration,-0.623132088
114,Immigration,-0.431949486
80,International.Affairs,-0.384615605
81,International.Affairs,-0.383041004
82,International.Affairs,-0.372156102
83,International.Affairs,-0.53286962
84,International.Affairs,-0.534429387
85,International.Affairs,-0.647534475
86,International.Affairs,-0.534443604
87,International.Affairs,-0.454655827
88,International.Affairs,-0.578273486
89,International.Affairs,-0.721986687
90,International.Affairs,-0.669850158
91,International.Affairs,-0.721986965
92,International.Affairs,-0.658146288
93,International.Affairs,-0.786403327
94,International.Affairs,-0.717664559
95,International.Affairs,-0.783997753
96,International.Affairs,-0.757154183
97,International.Affairs,-0.833370953
98,International.Affairs,-0.672482064
99,International.Affairs,-0.312025114
100,International.Affairs,-0.397968842
101,International.Affairs,-0.547093207
102,International.Affairs,-0.440182408
103,International.Affairs,-0.49818641
104,International.Affairs,-0.36040242
